id,Latitude,Longitude
524,219547,141540
525,221626,135367
526,220850,143510
527,221406,142793
528,38336,258
529,38254,145
530,38312,226
531,218526,145036
532,218249,144849
533,218751,145093
534,218764,143145
535,218187,144773
536,218635,143335
537,218678,144330
538,218603,144407
539,218807,144172
540,219875,141758
541,219873,141650
542,219900,141810
543,220094,142534
544,219785,142933
545,219954,142715
546,221425,142783
547,220997,143323
548,221471,142710
549,220774,143603
550,221075,143026
551,221145,143091
552,218297,143785
553,218157,144729
554,218821,143120
555,220710,143633
556,221064,143234
557,220858,143463
558,219052,141061
559,219009,141018
560,219361,141358
561,220576,142484
562,221029,142937
563,220554,142482
564,221276,142921
565,221095,143136
566,221483,142730
567,219840,144356
568,220037,143771
569,219921,144286
570,219209,143688
571,219388,143500
572,219296,143410
573,220388,142329
574,220751,143335
575,220759,142784
576,219960,142674
577,219591,143209
578,220274,142299
579,219087,143818
580,219405,143481
581,218960,143984
582,220297,142245
583,219840,141810
584,219936,141572
585,219635,143110
586,220308,142337
587,219598,143137
588,220687,143652
589,220576,143772
590,220529,143758
591,220000,142637
592,219799,142930
593,219801,142903
594,218883,144089
595,219018,143939
596,219270,143611
597,220000,144478
598,219924,144525
599,219097,145538
600,218135,144706
601,217926,144260
602,218108,144661
603,220205,143611
604,220508,143927
605,220187,143593
606,218692,140709
607,218674,140733
608,218723,140788
609,217901,144502
610,218084,144655
611,218350,143690
612,219875,142833
613,220096,142540
614,219737,142997
615,220367,144077
616,220105,144396
617,220208,144226
618,218694,140735
619,218875,141224
620,218669,140699
621,219506,145132
622,220575,143855
623,219547,145183
624,219082,143794
625,219122,143750
626,218912,144053
627,218964,143015
628,218184,143927
629,218852,143079
630,220359,143649
631,220442,143993
632,220390,143846
633,221401,142801
634,220984,143363
635,220834,143510
636,220580,142517
637,220815,142703
638,220937,142812
639,219797,144728
640,220156,144427
641,219836,144624
642,219325,143544
643,218931,144038
644,219065,143871
645,219803,144708
646,220279,144211
647,219916,144603
648,220051,143729
649,220457,143944
650,220258,143652
651,219507,145067
652,219236,145379
653,219773,144685
654,219605,145033
655,220039,144477
656,219813,144725
657,217910,144459
658,218802,142931
659,218507,143507
660,218033,144323
661,217914,144373
662,218124,144673
663,218496,144540
664,218535,144498
665,218585,144456
666,220156,144390
667,220293,144246
668,219953,144515
669,220316,142258
670,220338,142275
671,220295,142239
672,220150,143899
673,219891,144369
674,220074,143713
675,218559,144454
676,218602,144450
677,218530,144522
678,218150,144729
679,218684,143294
680,218136,144669
681,220137,144233
682,219825,143554
683,220268,144152
684,220073,143613
685,220469,143712
686,220565,143858
687,220884,143420
688,221478,142727
689,220998,143391
690,220170,141307
691,220131,142088
692,219792,141550
693,218686,140722
694,218726,140784
695,218745,140756
696,218498,143499
697,218642,143339
698,218146,144757
699,217979,144229
700,218109,144083
701,217866,144423
702,220609,143833
703,220021,143780
704,220168,143829
705,219838,142836
706,219642,143076
707,219750,142978
708,220034,144392
709,219920,144585
710,219629,144987
711,219903,141590
712,219926,141608
713,219763,141734
714,219240,145275
715,219454,145097
716,219478,145121
717,219322,141342
718,219640,141561
719,219468,141447
720,220327,142290
721,221059,142974
722,220954,142856
723,219210,141246
724,219073,141097
725,218946,140950
726,219637,141614
727,219563,141540
728,219023,141041
729,219213,143703
730,219450,143422
731,219393,143488
732,219156,143751
733,219426,143501
734,218944,144012
735,218749,144271
736,218509,144542
737,218885,144119
